id,count,site,locality,date,vaccine_type,posted,website
1381318149480529921,264,South Lawrence East School,,2021-04-13 00:00:00,,2021-04-11 18:48:05,https://t.co/ljiq8ikc4h
1381309636691787780,311,South Lawrence East School,,2021-04-13 00:00:00,,2021-04-11 18:14:15,https://t.co/ljiq8ikc4h
1381308552283877386,21,147 Pelham St.,Methuen,2021-04-15 00:00:00,,2021-04-11 18:09:56,https://t.co/dtw8na4h3f
1381306255227170816,28,Heywood Healthcare,Gardner,2021-04-13 00:00:00,,2021-04-11 18:00:49,https://t.co/vd7sxhbs7w
1381300569491537923,378,South Lawrence East School,,2021-04-13 00:00:00,,2021-04-11 17:38:13,https://t.co/ljiq8ikc4h
1381291529231290372,537,South Lawrence East School,,2021-04-13 00:00:00,,2021-04-11 17:02:18,https://t.co/ljiq8ikc4h
1381286555709489153,10,South Lawrence East School,,2021-04-12 00:00:00,,2021-04-11 16:42:32,https://t.co/ljiq8ikc4h
1381281534267817990,50,Holtzman Medical Group - Mount Ida Campus (moderna),Newton,2021-04-12 00:00:00,,2021-04-11 16:22:35,https://t.co/26mhbuxuln
1381278272919588868,24,South Lawrence East School,,2021-04-12 00:00:00,,2021-04-11 16:09:37,https://t.co/ljiq8ikc4h
1381269935335297029,90,South Lawrence East School,,2021-04-12 00:00:00,,2021-04-11 15:36:29,https://t.co/ljiq8ikc4h
1381268982632710146,14,Umass Memorial Healthcare 100 Front St Vaccine Clinic,Worcester,2021-04-12 00:00:00,,2021-04-11 15:32:42,https://t.co/ipc7lncrdh
1381266028475379714,12,Umass Memorial Healthcare 100 Front St Vaccine Clinic,Worcester,2021-04-12 00:00:00,,2021-04-11 15:20:58,https://t.co/ipc7lncrdh
1381262415589957635,22,Umass Memorial Healthcare 100 Front St Vaccine Clinic,Worcester,2021-04-12 00:00:00,,2021-04-11 15:06:37,https://t.co/ipc7lncrdh
1381261416217374730,200,South Lawrence East School,,2021-04-12 00:00:00,,2021-04-11 15:02:38,https://t.co/ljiq8ikc4h
1381249070887473164,12,South Boston Community Health Center,South Boston,2021-04-13 00:00:00,,2021-04-11 14:13:35,https://t.co/zjqfm6t3xt
1381245083777925133,14,Umass Memorial Healthcare 100 Front St Vaccine Clinic,Worcester,2021-04-14 00:00:00,,2021-04-11 13:57:44,https://t.co/ipc7lncrdh
1381241991476940801,34,Umass Memorial Healthcare 100 Front St Vaccine Clinic,Worcester,2021-04-14 00:00:00,,2021-04-11 13:45:27,https://t.co/ipc7lncrdh
1381238030640553984,21,Umass Memorial Healthcare 100 Front St Vaccine Clinic,Worcester,2021-04-14 00:00:00,,2021-04-11 13:29:43,https://t.co/ipc7lncrdh
1381212074697752577,,Cvs - Fall River,Fall River,2021-04-11 11:46:34,,2021-04-11 11:46:34,https://t.co/cvau09jxzh
1381212074697752577,,Cvs - New Bedford,New Bedford,2021-04-11 11:46:34,,2021-04-11 11:46:34,https://t.co/cvau09jxzh
1381212074697752577,,Cvs - Palmer,Palmer,2021-04-11 11:46:34,,2021-04-11 11:46:34,https://t.co/cvau09jxzh
1381212074697752577,,Cvs - Somerset,Somerset,2021-04-11 11:46:34,,2021-04-11 11:46:34,https://t.co/cvau09jxzh
1381212074697752577,,Cvs - Springfield,Springfield,2021-04-11 11:46:34,,2021-04-11 11:46:34,https://t.co/cvau09jxzh
1381200457348046852,,Cvs - Agawam,Agawam,2021-04-11 11:00:25,,2021-04-11 11:00:25,https://t.co/cvau09jxzh
1381200457348046852,,Cvs - Chelsea,Chelsea,2021-04-11 11:00:25,,2021-04-11 11:00:25,https://t.co/cvau09jxzh
